,Angry,Anxious,Shocked,Scared,Sad,Depressed,Surprised,Confused,Happy,Loved
Falling,4,10,3,8,5,4,6,9,7,4
Being chased,4,12,3,7,5,3,5,8,4,4
Seeing a monster,2,2,1,3,1,2,2,2,3,2
Vehicle out-of-control,1,2,0,2,1,0,1,0,0,0
Meeting a celebrity,3,5,1,4,3,3,4,2,5,5
Meeting a stranger,5,9,2,6,6,4,4,5,5,6
Restroom,2,4,1,2,3,3,2,3,2,2
Men,4,8,3,4,4,3,5,4,5,6
Women,6,10,3,6,4,4,8,7,7,5
Having sex,5,7,3,5,3,3,5,5,5,5
Babies,1,1,0,1,1,0,0,0,0,1
Mortality,2,2,3,2,2,2,3,3,2,2
Being lost,4,9,2,5,4,2,4,5,4,3
Missing bus/plane,2,4,0,3,2,0,1,2,1,1
Intruders break in,3,5,1,2,1,2,4,3,2,2
Important discovery,1,3,0,1,1,0,2,3,1,1
Show in movies,0,3,0,2,2,2,0,2,0,0
Being trapped,2,7,2,5,3,2,2,6,3,2
Flying,3,6,2,6,3,3,5,5,4,2
End of the world,5,8,2,8,4,2,4,4,5,4
Drowning,2,4,1,4,2,3,2,2,2,2
Body of Water,1,2,1,1,1,1,3,1,2,2